,text,Explanations,labels
0,“I’m beginning to think that it’s nothing to do with my body. But my mind.”,mind,0
1,"I’ve been stuck in the same job for years, and I feel like I’m not growing or learning anything new","stuck in the same job, not growing, not learning",1
2,"""If I told them I'm struggling with an eating disorder, what are they going to do to help me?""","eating disorder, ",3
3,"“I made friends with a girl later in CIT, A and it was good at first, but I wasn't feeling it anymore after a while, but I was scared to end it because I knew she would bully me. I ended it eventually and she's now bullying me even worse than I thought she would.”","wasn't feeling it anymore, she’s now bullying me,",4
4,"""My inner turmoil often resembles a high-speed train derailing at neck-breaking speeds, causing chaos and fear.""","inner turmoil, causing chaos and fear, resembles a high-speed train derailing at neck-breaking speeds",2
5,"""this weekend is one of the worst weekends I’ve felt for a long time. I’ve just been lying here on my couch alone, in the dark, crying, listening to music""","crying, lying here on my couch alone,",4
6,"“I’ve had a loving but very strict, almost suffocating upbringing & witnessed domestic abuse, I still flinch even though my current situation is not abusive.”","Domestic abuse, flinch,",3
7,“I’ve had a return of physical symptoms I had recur throughout last year - shortness of breath and feeling very unwell.”,"physical symptoms, shortness of breath, very unwell,",3
8,"""She feels unwell when the anxiety strikes.""","unwell, anxiety strikes,",3
9,"""She cries every day and cries herself to sleep most nights.""","cries every day, cries herself to sleep most nights,",5
10,“i got into a massive fight with my partner today to the point my son n i almost became homeless cause he either don't care or don't want to accept that i have.... Anxiety. Bipolar. ADHD.and epilepsy. ,"Got into a massive fight with my partner,",4
11,"""It feels like talking to my friends is getting increasingly difficult because they’re responding slowly, if at all. I keep telling my friends about how I’m feeling and it’s just starting to feel like they don’t care.""","Talking to my friends is getting increasingly difficult, they don’t care,",4
12,“I just want my pain to end. I'm tired of trying to numb the pain. I am tired of drinking myself to sleep every night”,"tired of drinking myself to sleep every night, ",3
13,“I’m 31 years old and have struggled with drug addiction for ten years.”,"Struggled with drug addiction,",3
14,"I don’t blame her at all but I’m so lost and feel like I have nothing left to fight for or to keep going , can’t stop crying , any advice at this point would be much appreciated sorry for a long story","Nothing left to fight for, cant stop crying, sorry",5
15,"""Her passing has been a very confusing and painful experience.""","passing, confusing and painful experience,",4
16,"“I feel noticeably less depressed, then the nausea kicks in and my mood plummets. It's very up and down. I really want this to work and there are good signs, but the nausea and accompanying depressed mood is vile.”","nausea kicks in, my mood plummets, depressed mood,",3
17,"“It's been a sexless relationship for about 5 years now. I don't even get any affection or closeness at all. I get incredibly sexually frustrated and lonely at night, to the point where it is unbearable.”","Sexless relationship for about 5 years now, incredibly sexually frustrated and lonely at night, ",4
18,"“Plagued with guilt and shame, not being able to admit mistakes and apologise”","Plagued with guilt and shame, not being able to admit mistakes and apologise,",2
19,"""He will call when he is on the rare occasion out with her to 'dob' on her for things she does and blames me for the things she does.""","Blames me for the things she does,",4
20,I could write this in my daily journal but the dogs ripped it up yesterday. Normally I would be so upset about that but I’m at the point of not caring. I had another suicide attempt last week and woke up again.,"Upset, not caring, suicide attempt",2
21,"""I constantly feel so alone in this world and lost like no one understands how hard it is to just keep yourself busy doing so doesn’t change anything.""","feel so alone, lost",2
22,I am so tired of life as I don’t have close friends and much hope of finding anything I am good at …can anyone else relate .. my only peace in life is when I am alone and can’t muck things up,"Tired of life, peace in life, cant muck things up",2
23,"“The first thing my mind jumps to when anything goes remotely wrong is killing myself.""",killing myself,2
24,"“I have bipolar 2 and It absolutely works for me with lifting depression so highly recommend it, however if I have too much I get bad anxiety, headaches and crazy fatigue for at least 2 weeks if not longer.”","have bipolar 2, bad anxiety, headaches and crazy fatigue,",3
25,There's no certificates I want to do and I can't achieve anything from University.,"Certificates, can’t achieve, university",0
26,"""I only cook now, but I still get suspicious when I see little specks or rashes in my food.”","specks or rashes in my food,",3
27,"“My issue is that because they are so supportive, I feel like I’m letting them down.”","Letting them down,",4
28,"“as soon as we got closer I started getting mad and pushing him away and started to closing up again and put my personal wall up , which upset myself and my husband and I also noticed that my mental illness started declining again and I’ve noticed I’ve become very depressed so I’m left wondering will I ever be able to have a relationship with my husband or will my mental illness always stop that from happening .”","Started getting mad and pushing him away, upset myself and my husband,  become very depressed,",4
29,"""He can't speak 2 words to me without abusing me.""","abusing, ",5
30,"""I am terrified. I keep having flashbacks, nightmares & getting chills."" ","terrified, keep having flashbacks, nightmares, getting chills,",5
31,“My biggest fear now is losing my partner. And i feel like i am pushing her away because i dont deserve to be loved.”,"Fear now is losing my partner, don’t deserve to be loved, ",4
32,"""I can’t eat, I feel sick.""","can’t eat, feel sick,",3
33,"“Recently I've been struggling with my sister and our relationship. Since her wedding at the start of the year, she has brought up issues with me. These issues came like an avalanche, without warning”","struggling with my sister and our relationship,  she has brought up issues with me",4
34,“I've entered a new relationship for which I now no that my trauma from the past is effectively rising up.”,"my trauma from the past is effectively rising up,",4
35,“I don't have any motivation to do anything and my house is so messy but I can't seem to clean it up.”,motivation,0
36,"“i won't suicide, i know myself. just wanna find someone to share my feelings, i have no friends to share my struggles, they probably think i'm weird”","wanna find someone to share my feelings, have no friends to share my struggles,",4
37,“Misophonia.. possible ADHD and definitely on the spectrum. This makes me hypersensitive and very literal”,"Misophonia, ADHD, hypersensitive,",3
38,“I wonder if this has been a factor in my depression and low self worth etc throughout my life.”,"Depression, low self worth,",5
39,"""Could understand if he had died a natural death but the unknown is killing me.”","Unknown, killing me",2
40,"""I don’t really know who I am or what I want. I don’t feel happy, I just scrape by everyday.""",don't know,0
41,"""I'd rather be the scapegoat than people turn on her.""","Scapegoat,",4
42,"""She gets herself into a state where she thinks she’s going to suffer a medical emergency because she feels unwell when the anxiety strikes.""","suffer a medical emergency, feels unwell, anxiety strikes,",3
43,"""I'm terrible for thinking this.""",Terrible.,2
44,“one of the girls doesn't talk to me much. She wasn't very supportive.”,"doesn't talk to me, She wasn't very supportive,",4
45,“I have recently been struggling with some intense suicidal ideations for the past two months.”,"Intense suicidal ideations,",3
46,"""I developed symptoms such as Anxiety/Panic that grew in severity until a tragic breakdown in 2014.""","Anxiety,  panic, tragic breakdown",5
47,“I stopped a SNRI anti depressant 11 months ago that i had been on for 15 years and have since experienced an array of disturbing physical and physiological symptoms that did not exist pre medication.”,"stopped a SNRI anti depressant, experienced an array of disturbing physical symptoms, symptoms that did not exist pre medication,",3
48,"“I always look for jobs, but they do not last long, regardless of hard effort and no issues with performance.”","Jobs, hard, effort, performance",1
49,"I was bullied then terminated during my probation period at a workplace as a youth worker. I lost a job, professional identity, and good stable full time pay.  ","bullied, terminated, probation period, workplace, youth worker, lost a job, professional identity, stable full time pay",1
50,"My grades dropped, I wanted to try to go to a different school but no one listened. Then was put into another school where there were no extra curriculars and I didn’t know how to mingle again as I didn’t in high school. With no other activities, I wasn’t able to navigate my interests either. ","Grades dropped, school, no extra curricular, navigate my interests",0
51,"""I don’t really know who I am or what I want. I don’t feel happy, I just scrape by everyday.""","don’t really know who I am, don’t feel happy, I just scrape by everyday,",0
52,"when I get to my desk I'd start procrastinating, franctically scrolling through social medias and kpop vids while torturing with the stress of assignments. Every morning I'd wake up and know that I'd need to study but am struggling to even get up off bed.","Procrastinating, stress, struggling",0
53,"“For years I have been fine on medication but now as the world is getting so expensive, me having no career or having to work so much instead of enjoying life is draining me”","Expensive, career, work, draining",1
54,"""None of the trauma I have been through is like this. This feeling is indescribable.""","trauma , feeling is indescribable",5
55,"Most of my teenage and adult life I had no confidence, was very uncertain of myself and my interests.. and just feeling very blank. In the past few years I’ve developed confidence when it comes to my job/career and a great work ethic. However, now I can not stop obsessing over ‘wasted time’ and ‘wasted years’ spent not working the amount of hours I should have after finishing high school, to the point where it affects me and distresses me in the present","No confidence, interests, feeling very blank, wasted time, wasted years, not working, distresses me",0
56,"""I talked to my manager who I’m close to about it and she agreed that I could’ve done things differently but said not to worry about it.""","Manager, worry",1
57,“My psychiatrist of 7 years just told me he can’t help me anymore and i feel alone.”,"Feel alone,",4
58,"""I despise staying home, my parents and I do not have a good relationship and being around them worsens my mental health. I spend my days just being out and coming back to sleep at home at 10 pm."" ","Do not have a good relationship, ",4
59,“Today I had to cancel an appointment with my employment agency because I was too unwell when I’d been looking forward to discussing my ideas for starting my own business on the NEIS program.”,"Employment, ideas",1
60,"""I haven’t talked to her, held her or kissed her in 5 days now and I miss her so much.""","Haven’t talked to her, held her or kissed her in 5 days, miss her so much,",4
61,"""I have ringing in my ears.""","ringing in my ears,",3
62,"“But when I'm feeling okay, I don't know who I am, or what I like, what I want to do or how to just exist.”","don't know, just exist",0
63,"“Anyway, feeling so scared & alone right now, I didn’t know where else to reach out”","Scared & alone right now,",4
64,"its causing me a lot of anxiety thinking about the future and generally just stressing out about it all. Just seems so insurmountable and i feel overwhelmed","anxiety, thinking of future, stressing, insurmountable, overwhelmed",0
65,"She makes me feel like a horrible person for not doing things I don't want to.I know she tries really hard but she's mentally killing me to the point I have no personality in real life anymore,If she dies ill have nowhere to stay","Horrible things, mentally killing me",5
66," ""The last few months he has been suicidal and very disconnected from me""","suicidal, very disconnected",2
67,"“I feel lonely, isolated, depressed, sad, stuck, rejected, I crave affection so badly.”","Lonely,isolated,depressed, crave affection so badly,",4
68,"“I have a lot of supportive family members and friends, I still feel so alone during this time.”","Still feel so alone during this time,",4
69,“My closest friend can't understand why I still loved him. I guess what I am asking is:how do I reconcile the fact that he was gay but in a hetero relationship with me? Very confused but wanting to hold on to the love I thought we had.”,"Very confused, wanting to hold on to the love I thought we had,",4
70,"""I still suffer from the memories and flashbacks of it all.""","suffer from the memories and flashbacks,",5
71,"""I was forced to medically retire.""","Forced, retire",1
72,"“I’m so tired of trying. Of forcing myself to get up, to eat, to go outside, to shower. I can barely work.”","forcing myself to get up, to eat, to go outside, to shower,",3
73,"“I feel lost, I feel depressed every single day, some days I find it so hard to get out of bed.”","feel lost, feel depressed , so hard to get out of bed",5
74,"""I've had this sort of empty feeling in me whenever I see people with their siblings, or my friends talk about their brothers.""","empty feeling, ",5
75,"“I keep making mistakes at work, each day I mess up things a newbie would know not to do, and I just know I’m getting on everyone's nerves that I keep making these silly mistakes and forgetting things I should already know.”","Work, mistakes, mess up, newbie, nerves",1
76,"“He is battling with his self worth, self esteem and currently questioning our marriage. He feels like he can't love others if he doesn't love himself. He has been suffering with depression for a while, however this is very unusual behaviour toward our relationship.”","Questioning our marriage, unusual behaviour toward our relationship,",4
77,"""I love my current partner with all my heart and wish my ex the best but it seems that I almost have an obsession with my ex.""","Obsession,",4
78,"""The weight of being lost engulfs me, but this time it's different as I'm screaming inside to find myself.""","weight of being lost engulfs me, screaming inside",2
79,“It makes me feel absolutely disgusting at times and I am truly ashamed. I try to visualize it just as a thought and not to give it the time and to let it pass but it’s just not that easy at all.”,"absolutely disgusting, ashamed, ",2
80,“My marriage is hanging by a thread and so am I.”,"Marriage is hanging by a thread,",4
81,"I had previously taken 2 different atypical antidepressants to help with my anxiety, they helped a little with sleep but not much else ","atypical antidepressants, anxiety, sleep",3
82,"“I have recently left a relationship. I won’t go into the details of it. But since leaving, I feel so out of place, I packed up and left, moved 2000km away. All of future plans have just disappeared. I think because I made them all with him.”","Recently left a relationship, feel out of place, ",4
83,"It’s been a while since I’ve written a journal or a book. It makes me feel unproductive, like I’m failing.","unproductive, failing",1
84,"“I am still feeling incredibly low and hopeless, I am not feeling at risk so think I'm judging myself for complaining at all.”","feeling incredibly low and hopeless, feeling at risk, judging myself for complaining,",2
85,"""I used to be highly religious and since stuff has been severely low for me, I am literally agnostic. I just feel so hopeless and lost on life.""","stuff has been severely low, am literally agnostic, feel so hopeless and lost on life",2
